LandPrice,RoadWidth,Gas,DistRoad,DevelopmentRate,Dist,LONG,LAT
110000,6,1,0.5,60,6.80831,141.3454717,43.07519907
113000,8,1,1,200,5.96639,141.3476286,43.07485102
97000,8,0,3,60,8.65596,141.345172,43.07938324
135000,8,0,1,200,4.01641,141.3444794,43.0660241
98000,8,1,1.8,80,7.29963,141.3470336,43.0775329
86800,8,0,3.7,60,9.8168,141.3413671,43.07905848
84000,8,0,3.1,200,10.486,141.3434732,43.08244059
83000,8,0,2.7,60,8.33331,141.3370925,43.06934094
78000,6,1,4.5,60,10.3753,141.3399904,43.0791797
79000,8,1,4.6,200,10.9414,141.3409375,43.08148602
77200,6,1,3,60,10.5372,141.3443846,43.08322038
71000,8,1,6.5,60,12.6067,141.340795,43.08542705
103000,8,0,1.5,60,6.11189,141.342195,43.06975185
86000,8,0,1.8,60,10.2232,141.3460649,43.08360656
135000,8,0,0.3,200,5.51829,141.345885,43.07235814
107000,12,0,0.9,60,8.33399,141.34734,43.08009555
130000,8,0,0.8,200,4.82147,141.3448533,43.06934983
155000,14.5,0,0.35,200,2.71501,141.3487775,43.06793452
160000,14.5,0,0.6,200,2.67414,141.3500435,43.06887758
152000,11,0,0.4,200,3.85883,141.3452714,43.06684848
132000,6,0,0.55,200,5.12961,141.3432739,43.06809786
94000,6,1,1.9,200,8.16853,141.344532,43.07772888
92500,8,1,2,60,9.04498,141.3452676,43.08036378
80000,8,0,5.9,60,12.1758,141.3397982,43.08354865
77000,8,0,3.2,60,11.9779,141.3462882,43.08770974
85000,8,0,2.5,60,11.1371,141.3458581,43.08555712
73000,8,1,3.7,60,11.5785,141.343862,43.08527678
112000,12,0,1.1,200,5.58247,141.3447223,43.07135322
119000,12,0,0.7,200,6.05289,141.3447277,43.07261535
75000,8,0,4.3,60,9.72512,141.3400931,43.07758008
79000,8,0,5.1,60,11.2554,141.339387,43.08086302
116000,11,0,0.6,200,6.5873,141.3439985,43.07328274
109000,8,0,1.5,200,5.93891,141.3437529,43.07124809
147000,8,0,0.8,200,3.27618,141.3473072,43.06786375
154000,8,0,0.28,200,3.18584,141.3459869,43.06554565
100000,11,0,0.95,200,5.01435,141.3456679,43.07083131
106000,8,0,1.9,200,6.1046,141.3428553,43.07062717
101000,8,0,1.3,60,6.77499,141.3427396,43.07242929
94000,8,0,1.7,60,7.64938,141.3384868,43.06921554
102000,10,1,1,80,7.60186,141.347363,43.07844218
100000,9,1,2,80,7.87646,141.3453654,43.07768455
87000,8,1,2.1,60,9.63085,141.3459525,43.08218208
89000,8,1,1.9,60,10.6201,141.3468286,43.08496161
76000,8,1,5.5,60,11.1202,141.3384804,43.07961749
74000,10,1,6.6,60,11.6621,141.3390762,43.08160794
66000,8,1,7.7,60,13.0472,141.3404931,43.08624561
64000,8,0,7.5,60,12.7395,141.3430685,43.08742382
147000,10,0,0.6,200,3.68961,141.346696,43.06831791
140000,8,0,0.58,200,4.27083,141.3444903,43.0670333
132000,8,0,0.45,200,4.61348,141.3474215,43.07147093
125000,9,0,0.65,200,5.82547,141.3467772,43.0738835
73000,8,1,4.6,200,11.5534,141.3408742,43.08293822
81000,10,1,3.8,200,10.9982,141.3422702,43.08273338
82000,8,1,4.6,200,10.8119,141.34166,43.08178526
400000,25,0,0.75,400,2.11204,141.350034,43.06754742
260000,25,0,0.63,300,4.15194,141.3484768,43.0712079
280000,20,0,0.14,300,3.32293,141.3460492,43.066206
320000,25,0,0.5,300,4.21113,141.344912,43.06750425
230000,20,0,0.65,300,3.81243,141.3447644,43.06573432
230000,27,0,0.75,300,4.45133,141.3456764,43.06928361
300000,20,0,0.15,300,4.62127,141.344129,43.06768886
173000,20,0,1.7,200,4.81469,141.3424614,43.0652347
158000,7,0,1.2,60,8.94068,141.3336522,43.0643099
80000,12,0,4.1,60,6.44201,141.338167,43.0618629
120000,8,1,0.45,80,7.0106,141.3388905,43.06744081
133000,6,0,0.7,200,5.47014,141.3413461,43.06581131
138000,7,0,1.2,60,7.3735,141.337056,43.06486892
61000,10,0,5.5,60,9.26359,141.3317998,43.05680428
77000,6,1,4.2,80,8.66338,141.3332808,43.0601383
110000,6,1,1.1,80,6.46095,141.3404361,43.06816371
105000,11,0,1.3,60,8.82496,141.333676,43.06360257
75000,8,1,3.5,80,7.61537,141.3354648,43.06002654
68500,10,0,4,60,7.30626,141.3360677,43.05936946
140000,8,0,0.65,200,6.0093,141.3406426,43.06672862
105000,6,0,3.2,200,6.44631,141.338337,43.06273937
135000,8,0,7.7,60,5.81146,141.3416991,43.06793622
68000,8,0,6.4,60,8.05265,141.3344364,43.05856088
68000,8,0,7.2,60,9.24392,141.3320013,43.05962363
136000,12,0,8.8,60,8.50951,141.334312,43.06356338
69500,8,0,5,60,7.20153,141.3363632,43.06030013
66500,8,0,0.48,200,9.02901,141.3323529,43.05853567
68000,8,0,4,60,8.01797,141.334565,43.05947671
119000,8,0,5,60,6.31346,141.3410746,43.0687138
82500,8,0,5.1,60,9.39674,141.3319132,43.06111993
89000,5,1,3.8,80,9.31967,141.332696,43.06372469
115000,6,1,5.3,60,5.46991,141.3405703,43.0636312
200000,8,1,3.8,60,6.13574,141.3404906,43.06696036
136000,11,0,1.9,200,7.97199,141.3347808,43.06055574
177000,8,1,5.4,60,9.2262,141.3323107,43.06135503
240000,8,0,10,60,6.86649,141.3377186,43.06368336
81500,22,0,0.38,200,7.67437,141.3541592,43.04802522
105000,8,0,3.1,80,3.08894,141.3546946,43.05875325
81000,11,0,1.4,200,7.61499,141.3502373,43.04672422
102000,6,1,1.3,200,6.45129,141.3516683,43.04969416
140000,8,0,0.8,200,4.28538,141.3514474,43.05438569
116000,8,0,2,200,3.92493,141.3540394,43.05634469
83500,8,1,0.45,200,7.64223,141.3453905,43.04624741
138000,8,0,2.9,200,4.56663,141.3495406,43.05338299
150000,8,1,2,200,3.74213,141.3508485,43.05542911
82000,6,0,0.35,200,7.61697,141.3449778,43.04635067
93000,8,1,5.3,60,6.48614,141.3476782,43.04888822
90000,6,0,0.96,200,6.75579,141.3463324,43.04828545
95000,8,0,0.3,200,6.53915,141.3487839,43.04884955
108000,11,1,5.2,60,5.55205,141.3526037,43.05201363
95000,8,0,3.9,60,4.86524,141.3557027,43.05529753
145000,8,0,3.8,80,3.40595,141.3516317,43.05637569
117000,8,0,4.1,80,5.02494,141.3506199,43.0525385
81000,6,1,0.9,200,6.92476,141.3449087,43.04805582
85500,6,0,2.4,200,7.3725,141.3474815,43.04684688
116000,10,0,0.8,200,3.15069,141.3535482,43.05780347
115000,6,1,1.4,200,5.34705,141.3494715,43.05161619
110000,8,0,4.5,60,5.35577,141.3533355,43.05276852
88000,8,0,4.9,80,7.23772,141.3462992,43.04714871
106000,11,0,0.7,200,5.76018,141.3505203,43.05088985
130000,6,0,2,200,4.33025,141.3525141,43.05466702
140000,6,1,0.4,200,4.04171,141.3493128,43.05456334
98000,8,0,4.7,80,3.97438,141.3556761,43.05741163
99000,8,0,7.8,200,6.34201,141.350283,43.04954825
70000,5.5,0,0.58,200,8.38547,141.3444344,43.04455815
